,Postcode,Borough,Neighbourhood
0,M3A,North York,Parkwoods
1,M4A,North York,Victoria Village
2,M5A,Downtown Toronto,Harbourfront
3,M5A,Downtown Toronto,Regent Park
4,M6A,North York,Lawrence Heights
5,M6A,North York,Lawrence Manor
6,M7A,Queen's Park,Not assigned
7,M8A,Not assigned,Not assigned
8,M9A,Etobicoke,Islington Avenue
9,M1B,Scarborough,Rouge
10,M1B,Scarborough,Malvern
11,M2B,Not assigned,Not assigned
12,M3B,North York,Don Mills North
13,M4B,East York,Woodbine Gardens
14,M4B,East York,Parkview Hill
15,M5B,Downtown Toronto,Ryerson
16,M5B,Downtown Toronto,Garden District
17,M6B,North York,Glencairn
18,M7B,Not assigned,Not assigned
19,M8B,Not assigned,Not assigned
20,M9B,Etobicoke,Cloverdale
21,M9B,Etobicoke,Islington
22,M9B,Etobicoke,Martin Grove
23,M9B,Etobicoke,Princess Gardens
24,M9B,Etobicoke,West Deane Park
25,M1C,Scarborough,Highland Creek
26,M1C,Scarborough,Rouge Hill
27,M1C,Scarborough,Port Union
28,M2C,Not assigned,Not assigned
29,M3C,North York,Flemingdon Park
30,M3C,North York,Don Mills South
31,M4C,East York,Woodbine Heights
32,M5C,Downtown Toronto,St. James Town
33,M6C,York,Humewood-Cedarvale
34,M7C,Not assigned,Not assigned
35,M8C,Not assigned,Not assigned
36,M9C,Etobicoke,Bloordale Gardens
37,M9C,Etobicoke,Eringate
38,M9C,Etobicoke,Markland Wood
39,M9C,Etobicoke,Old Burnhamthorpe
40,M1E,Scarborough,Guildwood
41,M1E,Scarborough,Morningside
42,M1E,Scarborough,West Hill
43,M2E,Not assigned,Not assigned
44,M3E,Not assigned,Not assigned
45,M4E,East Toronto,The Beaches
46,M5E,Downtown Toronto,Berczy Park
47,M6E,York,Caledonia-Fairbanks
48,M7E,Not assigned,Not assigned
49,M8E,Not assigned,Not assigned
50,M9E,Not assigned,Not assigned
51,M1G,Scarborough,Woburn
52,M2G,Not assigned,Not assigned
53,M3G,Not assigned,Not assigned
54,M4G,East York,Leaside
55,M5G,Downtown Toronto,Central Bay Street
56,M6G,Downtown Toronto,Christie
57,M7G,Not assigned,Not assigned
58,M8G,Not assigned,Not assigned
59,M9G,Not assigned,Not assigned
60,M1H,Scarborough,Cedarbrae
61,M2H,North York,Hillcrest Village
62,M3H,North York,Bathurst Manor
63,M3H,North York,Downsview North
64,M3H,North York,Wilson Heights
65,M4H,East York,Thorncliffe Park
66,M5H,Downtown Toronto,Adelaide
67,M5H,Downtown Toronto,King
68,M5H,Downtown Toronto,Richmond
69,M6H,West Toronto,Dovercourt Village
70,M6H,West Toronto,Dufferin
71,M7H,Not assigned,Not assigned
72,M8H,Not assigned,Not assigned
73,M9H,Not assigned,Not assigned
74,M1J,Scarborough,Scarborough Village
75,M2J,North York,Fairview
76,M2J,North York,Henry Farm
77,M2J,North York,Oriole
78,M3J,North York,Northwood Park
79,M3J,North York,York University
80,M4J,East York,East Toronto
81,M5J,Downtown Toronto,Harbourfront East
82,M5J,Downtown Toronto,Toronto Islands
83,M5J,Downtown Toronto,Union Station
84,M6J,West Toronto,Little Portugal
85,M6J,West Toronto,Trinity
86,M7J,Not assigned,Not assigned
87,M8J,Not assigned,Not assigned
88,M9J,Not assigned,Not assigned
89,M1K,Scarborough,East Birchmount Park
90,M1K,Scarborough,Ionview
91,M1K,Scarborough,Kennedy Park
92,M2K,North York,Bayview Village
93,M3K,North York,CFB Toronto
94,M3K,North York,Downsview East
95,M4K,East Toronto,The Danforth West
96,M4K,East Toronto,Riverdale
97,M5K,Downtown Toronto,Design Exchange
98,M5K,Downtown Toronto,Toronto Dominion Centre
99,M6K,West Toronto,Brockton
100,M6K,West Toronto,Exhibition Place
101,M6K,West Toronto,Parkdale Village
102,M7K,Not assigned,Not assigned
103,M8K,Not assigned,Not assigned
104,M9K,Not assigned,Not assigned
105,M1L,Scarborough,Clairlea
106,M1L,Scarborough,Golden Mile
107,M1L,Scarborough,Oakridge
108,M2L,North York,Silver Hills
109,M2L,North York,York Mills
110,M3L,North York,Downsview West
111,M4L,East Toronto,The Beaches West
112,M4L,East Toronto,India Bazaar
113,M5L,Downtown Toronto,Commerce Court
114,M5L,Downtown Toronto,Victoria Hotel
115,M6L,North York,Downsview
116,M6L,North York,North Park
117,M6L,North York,Upwood Park
118,M7L,Not assigned,Not assigned
119,M8L,Not assigned,Not assigned
120,M9L,North York,Humber Summit
121,M1M,Scarborough,Cliffcrest
122,M1M,Scarborough,Cliffside
123,M1M,Scarborough,Scarborough Village West
124,M2M,North York,Newtonbrook
