,Name,FM,Census Tracts,Population,Land area (km2),Density (people/km2),% Change in Population since 2001,Average Income,Transit Commuting %,% Renters,Second most common language (after English) by name,Second most common language (after English) by percentage
0,Agincourt,S,"['0377.01, 0377.02, 0377.03, 0377.04, 0378.02, 0378.08, 0378.14, 0378.23, 0378.24']","44,577",12.45,3580,4.6,"25,750",11.1,5.9,Cantonese (19.3%),19.3% Cantonese
1,Alderwood,E,"['0211.00, 0212.00']","11,656",4.94,2360,-4.0,"35,239",8.8,8.5,Polish (6.2%),06.2% Polish
2,Alexandra Park,OCoT,['0039.00'],"4,355",0.32,"13,609",0.0,"19,687",13.8,28.0,Cantonese (17.9%),17.9% Cantonese
3,Allenby,OCoT,['0140.00'],"2,513",0.58,4333,-1.0,"245,592",5.2,3.4,Russian (1.4%),01.4% Russian
4,Amesbury,NY,"['0280.00, 0281.01, 0281.02']","17,318",3.51,"4,934",1.1,"27,546",16.4,19.7,Spanish (6.1%),06.1% Spanish
5,Armour Heights,NY,['0298.00'],"4,384",2.29,1914,2.0,"116,651",10.8,16.1,Russian (9.4%),09.4% Russian
6,Banbury,NY,['0267.00'],"6,641",2.72,2442,5.0,"92,319",6.1,4.8,Unspecified Chinese (5.1%),05.1% Unspecified Chinese
7,Bathurst Manor,NY,"['0297.01, 0310.01, 0310.02']","14,945",4.69,3187,12.3,"34,169",13.4,18.6,Russian (9.5%),09.5% Russian
8,Bay Street Corridor,OCoT,['0062.01'],"4,787",0.11,"43,518",3.0,"40,598",17.1,49.3,Mandarin (9.6%),09.6% Mandarin
9,Bayview Village,NY,"['0305.01, 305.02']","12,280",4.14,"2,966",41.6,"46,752",14.4,15.6,Cantonese (8.4%),08.4% Cantonese
10,Bayview Woods – Steeles,NY,"['0323.01, 0323.02, 0324.01']","13,298",4.07,3267,-1.5,"41,485",11.2,13.9,Cantonese (9.3%),09.3% Cantonese
11,Bedford Park,OCoT,"['0141.01, 0141.02, 0142.00']","13,749",2.27,6057,-1.4,"80,827",15.2,10.1,Greek (0.7%),00.7% Greek
12,Bendale,S,"['0353.02, 0354.00, 0367.02, 0368.00, 0369.00']","28,945",8.49,3409,12.9,"29,723",13.0,10.4,Tamil (3.7%),03.7% Tamil
13,Birch Cliff,S,"['0338.00, 0339.00']","12,266",3.48,3525,-3.0,"48,965",11.4,15.2,Unspecified Chinese (0.9%),00.9% Unspecified Chinese
14,Bloor West Village,OCoT,['0104.00'],"5,175",0.74,6993,-2.0,"55,578",20.7,8.3,Ukrainian (3.6%),03.6% Ukrainian
15,Bracondale Hill,OCoT,['0114.00'],"5,343",0.62,8618,-3.0,"41,605",18.2,24.2,Greek (4.8%),04.8% Greek
16,Branson,NY,"['0309.00, 0317.05']","8,017",1.25,6414,-3.8,"27,156",18.0,27.2,Russian (24.1%),24.1% Russian
17,Bridle Path,NY,['0264.00'],"1,540",3.46,445,11.0,"314,107",7.1,2.3,Cantonese (12.0%),12.0% Cantonese
18,Brockton,OCoT,"['0046.00, 0053.00']","9,039",1.1,8217,-9.5,"27,260",22.3,17.3,Portuguese (19.9%),19.9% Portuguese
19,Cabbagetown,OCoT,"['0066.00, 0067.00, 0068.00']","11,120",1.4,7943,5.3,"50,398",18.5,29.6,Unspecified Chinese (1.6%),01.6% Unspecified Chinese
20,Caribou Park,NY,['0277.00'],"4,097",1.02,4017,-2.0,"103,703",8.4,7.6,Tagalog (2.9%),02.9% Tagalog
21,Carleton Village,OCoT,['0108.00'],"6,544",0.74,8843,-4.0,"23,301",19.0,19.9,Portuguese (17.0%),17.0% Portuguese
22,Casa Loma,OCoT,['0118.00'],"3,597",0.67,5369,23.0,"82,203",18.1,32.9,Korean (1.8%),01.8% Korean
23,Centennial,E,"['0236.01, 0236.02']","12,565",4.94,2544,0.5,"34,867",11.5,8.8,Polish (2.7%),02.7% Polish
24,Chaplin Estates,OCoT,['0129.00'],"4,906",0.93,5275,1.0,"81,288",22.7,24.5,French (1.2%),01.2% French
25,Christie Pits,OCoT,['0094.00'],"5,124",0.64,8006,-5.0,"30,556",18.8,15.3,Portuguese (11.9%),11.9% Portuguese
26,Church and Wellesley,OCoT,"['0063.01, 0063.02']","13,397",0.55,"24,358",8.8,"37,653",25.1,57.0,Spanish (1.8%),01.8% Spanish
27,Clairville,E,"['0248.03, 0249.03']","8,506",6.71,1268,-3.3,"26,610",13.2,7.2,Punjabi (12.0%),12.0% Punjabi
28,Clairlea,S,"['0340.00, 0348.00']","11,104",3.58,3102,1.8,"33,392",18.1,12.7,Filipino (4.3%),04.3% Filipino
29,Cliffcrest,S,"['0333.00, 0334.00, 0335.00']","14,531",7.01,2073,-2.9,"38,182",12.5,12.2,Tamil (1.5%),01.5% Tamil
30,Cliffside,S,"['0336.00, 0337.00']","9,386",2.45,3831,-6.3,"32,701",14.8,11.4,Cantonese (2.3%),02.3% Cantonese
31,Corktown,OCoT,['0016.00'],"4,484",0.67,6693,77.0,"54,681",15.5,17.6,Spanish (2.1%),02.1% Spanish
32,Crescent Town,EY,['0190.01'],"8,157",0.4,"20,393",-10.0,"23,021",24.5,20.3,Bengali (18.1%),18.1% Bengali
33,Cricket Club,NY,['0275.00'],"5,504",1.96,2808,3.0,"104,362",8.7,15.4,Filipino (1.4%),01.4% Filipino
34,Davenport,OCoT,"['0109.00, 0115.00']","8,781",0.99,8870,-6.9,"28,335",19.8,18.2,Portuguese (17.1%),17.1% Portuguese
35,Davisville,OCoT,"['0126.00, 0127.00, 0128.02, 0128.03, 0128.04']","23,727",3.14,7556,4.5,"55,735",26.0,31.7,Persian (1.5%),01.5% Persian
36,Deer Park,OCoT,"['0121.00, 0122.00, 0123.00, 0124.00']","15,165",1.46,"10,387",5.2,"80,704",26.4,41.3,Russian (1.1%),01.1% Russian
37,Discovery District,OCoT,['0035.00'],"7,262",0.66,6998,8.0,"41,998",12.7,32.1,Unspecified Chinese (6.5%),06.5% Unspecified Chinese
38,Distillery District,OCoT,['0017.00'],"6,378",1.33,4795,-1.0,"40,617",19.5,37.5,French (2.5%),02.5% French
39,Don Mills,NY,"['0263.02, 0263.03, 0263.04, 0268.00, 0269.02']","21,372",8.99,2377,11.9,"47,515",10.8,18.6,Unspecified Chinese (3.9%),03.9% Unspecified Chinese
40,Don Valley Village,NY,"['0303.00, 0304.01, 0304.02, 0304.03, 0304.04, 0304.05, 0304.06']","29,740",5.16,5764,-1.3,"30,442",17.1,16.6,Unspecified Chinese (9.7%),09.7% Unspecified Chinese
41,Dorset Park,S,"['0352.00, 0370.02, 0370.03']","14,189",4.26,3331,7.8,"26,525",15.2,9.6,Tamil (9.5%),09.5% Tamil
42,Dovercourt Park,OCoT,"['0095.00, 0096.00']","8,497",0.87,9767,-9.2,"28,311",21.9,15.1,Portuguese (13.1%),13.1% Portuguese
43,Downsview,NY,"['0289.00, 0290.00, 0291.01, 0291.02, 0292.00, 0294.01, 0294.02, 0295.00, 0296.00']","36,613",16.13,2270,-5.0,"26,751",14.4,18.3,Italian (11.7%),11.7% Italian
44,Dufferin Grove,OCoT,"['0045.00, 0054.00']","9,875",0.99,9975,-7.1,"27,961",23.8,28.4,Portuguese (15.2%),15.2% Portuguese
45,Earlscourt,OCoT,"['0107.00, 0110.00, 0111.00, 0112.00']","17,240",2.24,7696,-1.7,"26,672",17.7,8.5,Portuguese (18.9%),18.9% Portuguese
46,East Danforth,OCoT,"['0075.00, 0076.00, 0080.01, 0080.02, 0081.00, 0082.00']","21,440",2.5,8576,-6.3,"33,847",24.2,18.3,Cantonese (4.2%),04.2% Cantonese
